"Rank","Country","Nick","SiteName","UserID","Rating","Raw_Skill","Multiplier","Role","Tier","Matches","Wins","Losses","Win_Rate","Win_Loss_Ratio","Goals_PG","Assists_PG","Saves_PG","OwnGoals_PG","Total_Goals","Total_Assists","Total_Saves","Total_OwnGoals","MVP_Count","MVP_Per_Win","Offensive_Ratio","Defensive_Ratio","Playmaker_Ratio","Efficiency","Impact","Goalkeeping_Index","Defense_Reliability","Total_Actions"
"100","🇭🇺","h+rx (196K)","RolcsiOSZTCS","260134","6.8","9.48","0.717","Elite Striker","B-Tier","2782","1524","1258","54.78","1.21","1.88","0.62","1.46","0.15","5227","1720","4072","419","695","45.60","75.24","43.79","24.76","2.50","3.19","36.95","9.72","11019"
"101","🇰🇿","fayakae (192K)","sinxyeti1488","416304","6.8","8.93","0.766","Elite Goalkeeper","B-Tier","3599","1919","1680","53.32","1.14","0.56","0.37","2.18","0.20","2001","1344","7855","717","745","38.82","59.82","79.70","40.18","0.93","2.54","70.13","10.96","11200"
"102","🇪🇬","tenz (515K)","xiiNeron","438149","6.7","6.64","1.015","All-Round Midfielder","B-Tier","11523","5276","6247","45.79","0.84","1.18","0.51","0.73","0.18","13600","5859","8377","2127","1607","30.46","69.89","38.12","30.11","1.69","1.72","30.09","3.94","27836"
"103","🇪🇬","mody2 (335K)","mody81","467999","6.7","7.40","0.900","All-Round Midfielder","B-Tier","6770","3190","3580","47.12","0.89","1.14","0.55","1.08","0.18","7734","3700","7333","1229","1005","31.50","67.64","48.67","32.36","1.69","2.04","39.07","5.97","18767"
"104","🇮🇱","tancho (251K)","Tancho","469616","6.7","7.98","0.836","All-Round Midfielder","B-Tier","4768","2090","2678","43.83","0.78","1.12","0.52","1.41","0.16","5337","2482","6732","754","754","36.08","68.26","55.78","31.74","1.64","2.37","46.26","8.93","14551"
"105","🇪🇬","zlzo (432K)","Meshooo","431709","6.6","6.79","0.971","All-Round Midfielder","B-Tier","9329","4869","4460","52.19","1.09","1.06","0.53","0.73","0.10","9851","4973","6798","936","1508","30.97","66.45","40.83","33.55","1.59","1.68","31.44","7.26","21622"
"106","🇺🇦","fortran (302K)","Fortran","158217","6.6","7.43","0.890","Elite Goalkeeper","B-Tier","6427","3315","3112","51.58","1.07","0.60","0.33","1.56","0.14","3844","2144","10035","931","1039","31.34","64.20","72.30","35.80","0.93","2.01","62.63","10.78","16023"
"107","🇵🇸","st4n.exe (271K)","saderot","230328","6.6","7.63","0.864","Inconsistent Midfielder","B-Tier","5501","2353","3148","42.77","0.75","1.20","0.53","1.19","0.22","6588","2943","6557","1187","840","35.70","69.12","49.88","30.88","1.73","2.17","40.76","5.52","16088"
"108","🇵🇪","el_1 (203K)","MAON","208817","6.6","8.67","0.756","Elite Striker","B-Tier","3440","1687","1753","49.04","0.96","1.54","0.55","1.30","0.24","5297","1898","4470","839","671","39.77","73.62","45.77","26.38","2.09","2.60","38.32","5.33","11665"
"109","🇲🇦","#~zl'kaws' (155K)","AbdoxJee","468690","6.6","9.82","0.674","Elite Striker","B-Tier","2327","1156","1171","49.68","0.99","1.85","0.49","1.72","0.21","4314","1150","3996","479","614","53.11","78.95","48.09","21.05","2.35","3.37","42.24","8.34","9460"
"110","🇭🇺","zf'davider (245K)","Davider","85470","6.5","8.97","0.727","Elite Striker","B-Tier","2950","1830","1120","62.03","1.63","2.57","0.69","0.89","0.13","7573","2035","2635","388","975","53.28","78.82","25.81","21.18","3.26","3.33","21.52","6.79","12243"
"111","🇦🇷","ramirox98[?] (234K)","Ramirox98","146007","6.5","9.31","0.700","Elite Striker","B-Tier","2504","1552","952","61.98","1.63","2.95","0.59","1.12","0.25","7379","1471","2812","625","867","55.86","83.38","27.59","16.62","3.53","3.82","24.11","4.50","11662"
"112","🇲🇦","arami (229K)","Morad77","447474","6.5","8.29","0.787","Elite Striker","B-Tier","3956","2031","1925","51.34","1.06","1.59","0.59","1.03","0.20","6273","2329","4072","773","800","39.39","72.92","39.36","27.08","2.17","2.42","32.13","5.27","12674"
"113","🇧🇷","bzk'kobao (190K)","Swzaky","434302","6.5","8.67","0.754","Standard Playmaker","B-Tier","3395","1818","1577","53.55","1.15","1.10","0.50","1.54","0.17","3736","1682","5239","583","711","39.11","68.96","58.37","31.04","1.60","2.47","49.16","8.99","10657"
"114","🇹🇷","tonymontana (186K)","abdullahbaba22","348169","6.5","8.94","0.730","Opportunist Striker","B-Tier","3001","1402","1599","46.72","0.88","1.78","0.57","1.47","0.29","5338","1709","4399","862","571","40.73","75.75","45.18","24.25","2.35","2.96","38.43","5.10","11446"
